# Cherax module — byte-pattern signatures extracted from strings_module.txt
# Total instances: 95,  unique strings: 94
#
# These are AOB-scan patterns the module uses to locate code/data inside the
# target (GTA5_Enhanced.exe + game scripts) for hooks/patches. '?' = wildcard.
#

## CATEGORY A — x86/x64 native machine-code signatures (82 unique)
## Used by module to pattern-scan gta5_enhanced.exe .text section
================================================================================
0x18075292c  L=25   E8 ? ? ? ? 8B 45 ? 8D 48
0x180733e09  L=33   E8 ? ? ? ? 8B 46 ? 85 C0 74 ? B9
0x1807378e3  L=34   E8 ? ? ? ? 8B 74 24 ? 48 8D 6C 24
0x18074904c  L=25   E8 ? ? ? ? B3 ? 45 84 ED
0x180732121  L=40   E8 ? ? ? ? EB ? 83 3D ? ? ? ? ? 75 ? E8
0x180755cf7  L=27   F3 0F 10 00 0F 28 CF FF 15
0x1807121b8  L=27   FF 50 30 84 C0 75 02 31 F6
0x18073d2c4  L=21   FF ? 28 41 ? ? 3B 75

## CATEGORY B — RAGE script VM bytecode signatures (12 unique)
## All start with opcode 0x2D. Used to find patterns INSIDE GTA-V's compiled
## .ysc scripts loaded at runtime (script VM, not native code).
================================================================================
0x1802501f8  L=34   2D 00 02 00 00 3B ? 2C 05 00 ? 2A
0x18025009c  L=23   2D 01 03 00 00 3B ? 71
0x18024cbf9  L=30   2D 01 03 00 00 4F ? ? 41 ? 71
0x18024ff83  L=24   2D 01 05 00 00 38 00 2F
0x18024ba9b  L=39   2D 01 05 00 00 3A ? 47 ? ? 74 08 2A 06
0x18024b737  L=24   2D 01 07 00 00 71 39 03
0x18024d0a7  L=25   2D 02 05 00 00 3A ? 41 ?
0x18024df73  L=21   2D 02 0A 00 00 38 01
0x18024e186  L=21   2D 02 2E 00 00 38 00
0x18078d338  L=27   2D 03 05 00 00 38 02 71 57
0x18024de41  L=30   2D 03 0A 00 00 29 00 00 20 41
0x18024e2ea  L=39   2D 04 06 00 00 72 38 02 30 71 38 03 30
