# Module inline-string scan: 3025 hits, 1877 unique printable

CALL_ADDR    L   STRING
0x1801cd0e4  40  'A Rockstar Admin is in your session: {}'
0x1801cd161   8  'Warning'
0x1801cd2e4  40  'A Rockstar Admin is in your session: {}'
0x1801cd342   8  'Warning'
0x1801cd53d  17  'Auto Crashing {}'
0x1801cd6f5  17  'Auto Crashing {}'
0x1801cfa36   5  'BSHR'
0x1801cffd8  26  'Shooting while invincible'
0x1801d9787  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1801e4646  30  '[{:0>2}:{:0>2}:{:0>2}.{:0>3}]'
0x1801e86bc   5  'TASK'
0x1801e8732  23  'Ped Task For A Non Ped'
0x1801e8859   5  'TASK'
0x1801e88e3  27  'Invalid Ambient Clips Task'
0x1801e89e4   5  'TASK'
0x1801e8a96  35  'Invalid Heli Passenger Rappel Task'
0x1801e8bb7   5  'TASK'
0x1801e8c27  22  'Invalid Scenario Task'
0x1801e8d58   5  'TASK'
0x1801e8df7  32  'Invalid Wandering Scenario Task'
0x1801e8ef4   5  'TASK'
0x1801e8f7f  28  'Invalid Cower Scenario Task'
0x1801e90b0   5  'TASK'
0x1801e9159  34  'Invalid Use Vehicle Scenario Task'
0x1801e9284   5  'TASK'
0x1801e937a   5  'TASK'
0x1801e94b5   5  'TASK'
0x1801e95be   5  'TASK'
0x1801e9667  34  'Aim Gun On Foot Task As Non Biped'
0x1801e980a  24  'Weapon while invincible'
0x1801e9920   5  'TASK'
0x1801e99a0  25  'Invalid Weapon Swap Task'
0x1801e99f9   5  'TASK'
0x1801e9a79  25  'Invalid Weapon Swap Task'
0x1801e9fa3   5  'TASK'
0x1801ea33a   5  'TASK'
0x1801ea46a   5  'TASK'
0x1801ea51c  35  'Submarine Task For A Non Submarine'
0x1801ea916   5  'TASK'
0x1801ea9a0  27  'Train Task For A Non Train'
0x1801ead1d   5  'TASK'
0x1801eade7  30  "Invalid Parachute Object '{}'"
0x1801eaf24   5  'TASK'
0x1801eb101   5  'TASK'
0x1801eb184  23  'Jump Task As Non Biped'
0x1801ebe2f   7  'CREATE'
0x1801ebefe  32  "Type Mismatch Crash | {} | '{}'"
0x1801ebff1   7  'CREATE'
0x1801ec0c0  32  "Type Mismatch Crash | {} | '{}'"
0x1801ec17d   7  'CREATE'
0x1801ec24c  32  "Type Mismatch Crash | {} | '{}'"
0x1801ec321   7  'CREATE'
0x1801ec3f0  32  "Type Mismatch Crash | {} | '{}'"
0x1801ec4ad   7  'CREATE'
0x1801ec57c  32  "Type Mismatch Crash | {} | '{}'"
0x1801eca61   7  'CREATE'
0x1801ecb30  32  "Type Mismatch Crash | {} | '{}'"
0x1801ecbed   7  'CREATE'
0x1801eccbc  32  "Type Mismatch Crash | {} | '{}'"
0x1801ecd6c   7  'CREATE'
0x1801ece3b  32  "Type Mismatch Crash | {} | '{}'"
0x1801ecf61   7  'CREATE'
0x1801ecfa0   4  'V12'
0x1801ed031  32  "Type Mismatch Crash | {} | '{}'"
0x1801ed0f6   7  'CREATE'
0x1801ed135   4  'V11'
0x1801ed1c6  32  "Type Mismatch Crash | {} | '{}'"
0x1801ed27c   7  'CREATE'
0x1801ed61b   7  'CREATE'
0x1801ed65a   4  'V15'
0x1801ed6eb  32  "Type Mismatch Crash | {} | '{}'"
0x1801ed7a8   7  'CREATE'
0x1801ed7e7   4  'V14'
0x1801ed878  32  "Type Mismatch Crash | {} | '{}'"
0x1801ed928   7  'CREATE'
0x1801ed967   4  'V13'
0x1801ed9fb  32  "Type Mismatch Crash | {} | '{}'"
0x1801edb7d   7  'CREATE'
0x1801edbbc   4  'V17'
0x1801edc4d  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee12a   7  'CREATE'
0x1801ee169   4  'V19'
0x1801ee1fa  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee2aa   7  'CREATE'
0x1801ee2e9   4  'V18'
0x1801ee37a  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee47c   7  'CREATE'
0x1801ee4bb   4  'V21'
0x1801ee54c  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee5fc   7  'CREATE'
0x1801ee63b   4  'V20'
0x1801ee6cc  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee7ce   7  'CREATE'
0x1801ee80d   4  'V23'
0x1801ee89e  32  "Type Mismatch Crash | {} | '{}'"
0x1801ee94e   7  'CREATE'
0x1801ee98d   4  'V22'
0x1801eea1e  32  "Type Mismatch Crash | {} | '{}'"
0x1801eeb10   7  'CREATE'
0x1801eeb4f   4  'V25'
0x1801eebe0  32  "Type Mismatch Crash | {} | '{}'"
0x1801ef0c7   7  'CREATE'
0x1801ef10e   4  'V27'
0x1801ef30b   7  'CREATE'
0x1801ef382  24  'World Model Sync | {:X}'
0x1801ef435   7  'CREATE'
0x1801ef47c   4  'V26'
0x1801f1d4a   5  'SYNC'
0x1801f1e4c   5  'YMCA'
0x1801f2191  32  'Modded Weapon Damage Multiplier'
0x1801f249a  38  'Modded Melee Weapon Damage Multiplier'
0x1801f27aa  33  'Modded Unarmed Damage Multiplier'
0x1801f2a39   5  'SYNC'
0x1801f2bf0   5  'SYNC'
0x1801f2d74   5  'SYNC'
0x1801f33da   5  'SYNC'
0x1801f34b4   5  'SYNC'
0x1801f355b   5  'SYNC'
0x1801f3ae8  19  'Rockstar Dev Spoof'
0x1801f3fc6   4  'ME1'
0x1801f406c   4  'ME2'
0x1801f44ef   4  'MC1'
0x1801f456f   5  'SYNC'
0x1801f45a4   7  'CREATE'
0x1801f478d   5  'SYNC'
0x1801f47c2   7  'CREATE'
0x1801f49c0   5  'SYNC'
0x1801f49f5   7  'CREATE'
0x1801f4bd3   7  'CREATE'
0x1801f4cb1  27  "Submarine Car Crash | '{}'"
0x1801f4d80   7  'CREATE'
0x1801f4e38  24  'Glitched Physics Object'
0x1801f4f07   5  'SYNC'
0x1801f4f37   7  'CREATE'
0x1801f5089   5  'SYNC'
0x1801f50b9   7  'CREATE'
0x1801f520e   5  'SYNC'
0x1801f5243   7  'CREATE'
0x1801f52bd  17  'Invalid Fragment'
0x1801f538f   5  'SYNC'
0x1801f53c4   7  'CREATE'
0x1801f5485  26  'Duplicate Object Creation'
0x1801f5541   7  'CREATE'
0x1801f563e  34  "Attachment To Your Vehicle | '{}'"
